"","long","lat","group","feature"
"3212","-80.5535178","36.9123673","1","Water Body"
"3213","-80.5534424","36.9124332","1","Water Body"
"3214","-80.553333","36.9124828","1","Water Body"
"3215","-80.5532851","36.9124883","1","Water Body"
"3216","-80.5530935","36.9124608","1","Water Body"
"3217","-80.552854","36.9123893","1","Water Body"
"3218","-80.5525118","36.9123069","1","Water Body"
"3219","-80.5524434","36.9122904","1","Water Body"
"3220","-80.5523955","36.9122574","1","Water Body"
"3221","-80.5523681","36.9122409","1","Water Body"
"3222","-80.5523338","36.9121805","1","Water Body"
"3321","-80.5514546","36.9288636","1","Water Body"
"3322","-80.5514546","36.928924","1","Water Body"
"3323","-80.5514273","36.928946","1","Water Body"
"3324","-80.5513519","36.9289625","1","Water Body"
"3325","-80.551215","36.92899","1","Water Body"
"3326","-80.5511055","36.929012","1","Water Body"
"3327","-80.5510234","36.9290614","1","Water Body"
"3328","-80.5509686","36.9290614","1","Water Body"
"3329","-80.5509207","36.9290065","1","Water Body"
"3330","-80.5508797","36.928924","1","Water Body"
"3331","-80.5508796","36.9288581","1","Water Body"
"3332","-80.5509754","36.9288472","1","Water Body"
"3333","-80.551085","36.9288306","1","Water Body"
"3334","-80.5512971","36.9288197","1","Water Body"
"3335","-80.5514136","36.9288252","1","Water Body"
"3336","-80.5514546","36.9288636","1","Water Body"
"3411","-80.5477425","36.8236226","1","Water Body"
"3412","-80.5477289","36.8235675","1","Water Body"
"3413","-80.5477289","36.8234962","1","Water Body"
"3414","-80.5477973","36.8234413","1","Water Body"
"3415","-80.5480502","36.8234303","1","Water Body"
"3416","-80.5483304","36.8234303","1","Water Body"
"3417","-80.5483987","36.8234413","1","Water Body"
"3418","-80.548344","36.8235127","1","Water Body"
"3419","-80.5482278","36.8235786","1","Water Body"
"3420","-80.5481048","36.8237325","1","Water Body"
"3421","-80.5480227","36.8238149","1","Water Body"
"3422","-80.5479886","36.8238149","1","Water Body"
"3423","-80.5478791","36.82376","1","Water Body"
"3424","-80.5477425","36.8236226","1","Water Body"
"3425","-80.548107","36.8698042","1","Water Body"
"3426","-80.548107","36.8698701","1","Water Body"
"3427","-80.5480932","36.8699141","1","Water Body"
"3428","-80.5480247","36.8699415","1","Water Body"
"3429","-80.5475939","36.869969","1","Water Body"
"3430","-80.5475119","36.8699415","1","Water Body"
"3431","-80.5475119","36.869903","1","Water Body"
"3432","-80.5475598","36.8698481","1","Water Body"
"3433","-80.5477992","36.8697767","1","Water Body"
"3434","-80.5480728","36.8697217","1","Water Body"
"3435","-80.5481275","36.8697493","1","Water Body"
"3436","-80.548107","36.8698042","1","Water Body"
"3449","-80.5474719","36.8393938","1","Water Body"
"3450","-80.5473899","36.8392289","1","Water Body"
"3451","-80.5474036","36.8391465","1","Water Body"
"3452","-80.5474584","36.8391025","1","Water Body"
"3453","-80.5475267","36.8391025","1","Water Body"
"3454","-80.5475608","36.8391465","1","Water Body"
"3455","-80.547595","36.839229","1","Water Body"
"3456","-80.5475608","36.8393938","1","Water Body"
"3457","-80.5475266","36.8394047","1","Water Body"
"3458","-80.5474719","36.8393938","1","Water Body"
"3525","-80.5436294","36.861973","1","Water Body"
"3526","-80.5436637","36.8619456","1","Water Body"
"3527","-80.5438141","36.8619731","1","Water Body"
"3528","-80.5438482","36.862028","1","Water Body"
"3529","-80.5438004","36.8620718","1","Water Body"
"3530","-80.5437457","36.8620994","1","Water Body"
"3531","-80.5436431","36.8621105","1","Water Body"
"3532","-80.5435952","36.8620995","1","Water Body"
"3533","-80.5435952","36.862028","1","Water Body"
"3534","-80.5436294","36.861973","1","Water Body"
"3607","-80.542209","36.9013651","1","Water Body"
"3608","-80.5423391","36.9013926","1","Water Body"
"3609","-80.5423938","36.901431","1","Water Body"
"3610","-80.5424211","36.9015409","1","Water Body"
"3611","-80.5424211","36.9016728","1","Water Body"
"3612","-80.5423937","36.9017663","1","Water Body"
"3613","-80.5423457","36.9018157","1","Water Body"
"3614","-80.542291","36.9018267","1","Water Body"
"3615","-80.542243","36.9018212","1","Water Body"
"3616","-80.5421953","36.9017827","1","Water Body"
"3617","-80.5421609","36.9017278","1","Water Body"
"3618","-80.5421063","36.9015519","1","Water Body"
"3619","-80.5421064","36.901464","1","Water Body"
"3620","-80.5421201","36.90142","1","Water Body"
"3621","-80.5421336","36.901398","1","Water Body"
"3622","-80.542209","36.9013651","1","Water Body"
"4137","-80.5307695","36.7962646","1","Water Body"
"4138","-80.5307216","36.7962865","1","Water Body"
"4139","-80.5306327","36.796281","1","Water Body"
"4140","-80.5305848","36.7962535","1","Water Body"
"4141","-80.5305167","36.7961546","1","Water Body"
"4142","-80.5305304","36.7959623","1","Water Body"
"4738","-80.5192012","36.850856","1","Water Body"
"4739","-80.5191669","36.8508561","1","Water Body"
"4740","-80.5191328","36.8508285","1","Water Body"
"4741","-80.5191328","36.8507735","1","Water Body"
"4742","-80.519256","36.8507187","1","Water Body"
"4743","-80.5194954","36.8506254","1","Water Body"
"4744","-80.5196116","36.8506089","1","Water Body"
"4745","-80.5196458","36.8506254","1","Water Body"
"4746","-80.5196663","36.8506529","1","Water Body"
"4747","-80.5195773","36.8507737","1","Water Body"
"4748","-80.5194952","36.8508561","1","Water Body"
"4749","-80.5194063","36.8508836","1","Water Body"
"4750","-80.5192901","36.8508835","1","Water Body"
"4751","-80.5192012","36.850856","1","Water Body"
"5053","-80.5152958","36.8940058","1","Water Body"
"5054","-80.5154257","36.8940883","1","Water Body"
"5055","-80.5155078","36.8941542","1","Water Body"
"5056","-80.5155693","36.8942203","1","Water Body"
"5057","-80.515583","36.8942752","1","Water Body"
"5058","-80.5155761","36.8942971","1","Water Body"
"5059","-80.515535","36.8943466","1","Water Body"
"5060","-80.5153982","36.894429","1","Water Body"
"5061","-80.5150696","36.8945552","1","Water Body"
"5062","-80.5149738","36.8945827","1","Water Body"
"5063","-80.5149466","36.8945662","1","Water Body"
"5064","-80.5149191","36.8945223","1","Water Body"
"5065","-80.5149808","36.8943904","1","Water Body"
"5066","-80.5150631","36.8941706","1","Water Body"
"5067","-80.5151179","36.8940882","1","Water Body"
"5068","-80.5151589","36.8940498","1","Water Body"
"5069","-80.5152137","36.8940113","1","Water Body"
"5070","-80.5152958","36.8940058","1","Water Body"
"5649","-80.5003042","36.9501428","1","Water Body"
"5650","-80.5002426","36.9501812","1","Water Body"
"5651","-80.5001878","36.9501592","1","Water Body"
"5652","-80.5001673","36.9501372","1","Water Body"
"5653","-80.5001742","36.9500988","1","Water Body"
"5654","-80.5002221","36.9500547","1","Water Body"
"5655","-80.5002838","36.9500494","1","Water Body"
"5656","-80.5003179","36.9500768","1","Water Body"
"5657","-80.5003248","36.9500934","1","Water Body"
"5658","-80.5003042","36.9501428","1","Water Body"
"5921","-80.4948318","36.8546318","1","Water Body"
"5922","-80.4948866","36.8546758","1","Water Body"
"5923","-80.4949277","36.8547527","1","Water Body"
"5924","-80.4948935","36.8549285","1","Water Body"
"5925","-80.4948251","36.8550274","1","Water Body"
"5926","-80.4947295","36.8550935","1","Water Body"
"5927","-80.4945381","36.8551156","1","Water Body"
"5928","-80.4944833","36.8550716","1","Water Body"
"5929","-80.494456","36.8550167","1","Water Body"
"5930","-80.49449","36.8548408","1","Water Body"
"5931","-80.4945583","36.8547418","1","Water Body"
"5932","-80.4946676","36.8546538","1","Water Body"
"5933","-80.4947361","36.8546319","1","Water Body"
"5934","-80.4948318","36.8546318","1","Water Body"
"6170","-80.4887144","36.8800861","1","Water Body"
"6171","-80.4886391","36.8800862","1","Water Body"
"6172","-80.4884816","36.879872","1","Water Body"
"6173","-80.4884885","36.8798225","1","Water Body"
"6174","-80.4885294","36.8797291","1","Water Body"
"6175","-80.488714","36.8797179","1","Water Body"
"6176","-80.4888168","36.8798224","1","Water Body"
"6177","-80.4888648","36.8799323","1","Water Body"
"6178","-80.4887964","36.8800586","1","Water Body"
"6179","-80.4887144","36.8800861","1","Water Body"
"6212","-80.4876149","36.8150807","1","Water Body"
"6213","-80.4877243","36.8151577","1","Water Body"
"6214","-80.4878612","36.8153444","1","Water Body"
"6215","-80.4879021","36.8154653","1","Water Body"
"6216","-80.4878885","36.8155422","1","Water Body"
"6217","-80.4877997","36.8156247","1","Water Body"
"6218","-80.4876835","36.8156302","1","Water Body"
"6219","-80.4875878","36.8155754","1","Water Body"
"6220","-80.4875195","36.8154655","1","Water Body"
"6221","-80.4874783","36.8152347","1","Water Body"
"6222","-80.4874919","36.8151358","1","Water Body"
"6223","-80.4875464","36.8150807","1","Water Body"
"6224","-80.4876149","36.8150807","1","Water Body"
"6225","-80.4874646","36.9533858","1","Water Body"
"6226","-80.4873892","36.9533858","1","Water Body"
"6227","-80.4872865","36.953287","1","Water Body"
"6228","-80.4872454","36.9532211","1","Water Body"
"6229","-80.487259","36.9531935","1","Water Body"
"6230","-80.4873206","36.9531824","1","Water Body"
"6231","-80.4874508","36.95321","1","Water Body"
"6232","-80.4875397","36.9532759","1","Water Body"
"6233","-80.4874646","36.9533858","1","Water Body"
"6280","-80.4854331","36.7757524","1","Water Body"
"6281","-80.4854742","36.7759063","1","Water Body"
"6282","-80.4854059","36.7759613","1","Water Body"
"6283","-80.4850234","36.7760384","1","Water Body"
"6284","-80.484955","36.7759945","1","Water Body"
"6285","-80.4850096","36.7757856","1","Water Body"
"6286","-80.4850778","36.7756866","1","Water Body"
"6287","-80.4851324","36.7756537","1","Water Body"
"6288","-80.4853375","36.7756756","1","Water Body"
"6289","-80.4854331","36.7757524","1","Water Body"
"6290","-80.4848751","36.8543724","1","Water Body"
"6291","-80.4849298","36.8543833","1","Water Body"
"6292","-80.4849846","36.8544273","1","Water Body"
